keys,pt_BR,en,es,zh,ja,ko,ru
game.title,Queen Survivors,Queen Survivors,Queen Survivors,Queen Survivors,Queen Survivors,Queen Survivors,Queen Survivors
queen.gaia.name,Gaia,Gaia,Gaia,盖亚,ガイア,가이아,Гайя
queen.gaia.description,A primeira Queen jogável do protótipo.,The first playable Queen of the prototype.,La primera Queen jugable del prototipo.,原型中第一个可操作的女王。,プロトタイプ初の操作可能なクイーン。,프로토타입의 첫 번째 플레이 가능한 퀸.,Первая играбельная Королева в прототипе.
drop.coin.default.name,Moeda,Coin,Moneda,金币,コイン,코인,Монета
enemy.chaser_basic.name,Perseguidor Básico,Basic Chaser,Perseguidor Básico,基础追击者,ベーシックチェイサー,기본 추적자,Базовый преследователь
enemy.chaser_basic.description,Um inimigo simples que persegue a Gaia.,A simple enemy that chases Gaia.,Un enemigo simple que persigue a Gaia.,追逐盖亚的简单敌人。,ガイアを追いかける単純な敵。,가이아를 쫓는 단순한 적.,"Простой враг, преследующий Гайю."
map.test_arena_10min.name,Arena de Teste,Test Arena,Arena de Prueba,测试竞技场,テストアリーナ,테스트 아레나,Тестовая арена
map.test_arena_10min.description,Arena infinita simples de 10 minutos.,Simple infinite 10-minute arena.,Arena infinita simple de 10 minutos.,简单的10分钟无限竞技场。,シンプルな10分間の無限アリーナ。,단순한 10분 무한 아레나.,Простая бесконечная 10-минутная арена.
ui.debug.title,Debug,Debug,Depuración,调试,デバッグ,디버그,Отладка
ui.debug.move_direction,Direção de movimento,Move direction,Dirección de movimiento,移动方向,移動方向,이동 방향,Направление движения
ui.debug.aim_direction,Direção de mira,Aim direction,Dirección de apuntado,瞄准方向,照準方向,조준 방향,Направление прицеливания
ui.debug.state,Estado,State,Estado,状态,状態,상태,Состояние
ui.debug.animation,Animação,Animation,Animación,动画,アニメーション,애니메이션,Анимация
ui.debug.spine_ready,Spine pronto,Spine ready,Spine listo,Spine 就绪,Spine 準備完了,Spine 준비됨,Spine готов
ui.test.gaia_scene.title,Teste da Gaia,Gaia Test,Prueba de Gaia,盖亚测试,ガイアテスト,가이아 테스트,Тест Гайи
ui.level_up.title,Escolha uma melhoria,Choose an upgrade,Elige una mejora,选择一项升级,アップグレードを選択,업그레이드를 선택하세요,Выберите улучшение
ui.level_up.subtitle,A Gaia subiu de nível. Escolha uma opção para continuar.,Gaia leveled up. Choose an option to continue.,Gaia subió de nivel. Elige una opción para continuar.,盖亚升级了。选择一个选项以继续。,ガイアがレベルアップしました。続けるには選択肢を選んでください。,가이아가 레벨업했습니다. 계속하려면 옵션을 선택하세요.,"Гайя повысила уровень. Выберите вариант, чтобы продолжить."
ui.level_up.option_missing,Opção indisponível,Option unavailable,Opción no disponible,选项不可用,選択肢は利用できません,사용할 수 없는 옵션,Вариант недоступен
ui.hud.hp,HP,HP,HP,HP,HP,HP,HP
ui.hud.xp,XP,XP,XP,XP,XP,XP,XP
ui.hud.level,Nível,Level,Nivel,等级,レベル,레벨,Уровень
ui.hud.timer,Tempo,Time,Tiempo,时间,時間,시간,Время
ui.hud.coins,Moedas,Coins,Monedas,金币,コイン,코인,Монеты
ui.hud.kills,Abates,Kills,Bajas,击杀,撃破,처치,Убийства
ui.hud.victory,Vitória!,Victory!,¡Victoria!,胜利！,勝利！,승리!,Победа!
ui.hud.defeat,Derrota,Defeat,Derrota,失败,敗北,패배,Поражение
ui.hud.run_active,Sobreviva até o fim da run,Survive until the end of the run,Sobrevive hasta el final de la run,坚持到本局结束,ランの終わりまで生き延びろ,런이 끝날 때까지 살아남으세요,Выживите до конца забега
ui.hud.attack,Ataque,Attack,Ataque,攻击,攻撃,공격,Атака
ui.hud.attack_ready,pronto,ready,listo,就绪,準備完了,준비됨,готово
ui.hud.dash,Dash,Dash,Dash,冲刺,ダッシュ,대시,Рывок
ui.hud.dash_ready,pronto,ready,listo,就绪,準備完了,준비됨,готово
ui.hud.wave,Wave,Wave,Oleada,波次,ウェーブ,웨이브,Волна
ui.hud.wave_none,-,-,-,-,-,-,-
ui.feedback.damage_taken,Dano recebido,Damage taken,Daño recibido,受到伤害,被ダメージ,받은 피해,Полученный урон
ui.feedback.coin_collected,Moeda coletada,Coin collected,Moneda recogida,已收集金币,コイン獲得,코인 획득,Монета собрана
ui.feedback.level_up,Level Up!,Level Up!,¡Subida de nivel!,升级！,レベルアップ！,레벨 업!,Новый уровень!
ui.feedback.victory,Vitória!,Victory!,¡Victoria!,胜利！,勝利！,승리!,Победа!
ui.feedback.defeat,Derrota,Defeat,Derrota,失败,敗北,패배,Поражение
ui.level_up.badge_level,Nv.,Lv.,Nv.,等级,Lv.,Lv.,Ур.
ui.level_up.badge_use,Uso,Use,Uso,使用,使用,사용,Исп.
ui.level_up.no_icon,?,?,?,?,?,?,?
ui.result.save_failed,Falha ao salvar o resultado.,Failed to save the result.,Error al guardar el resultado.,保存结果失败。,結果の保存に失敗しました。,결과 저장에 실패했습니다.,Не удалось сохранить результат.
ui.result.victory,Vitória,Victory,Victoria,胜利,勝利,승리,Победа
ui.result.defeat,Derrota,Defeat,Derrota,失败,敗北,패배,Поражение
ui.result.title,Resultado da Run,Run Result,Resultado de la Run,本局结果,ランの結果,런 결과,Результат забега
ui.result.map,Mapa,Map,Mapa,地图,マップ,맵,Карта
ui.result.queen,Queen,Queen,Queen,女王,クイーン,퀸,Королева
ui.result.time_survived,Tempo sobrevivido,Time survived,Tiempo sobrevivido,存活时间,生存時間,생존 시간,Время выживания
ui.result.coins_collected,Moedas coletadas,Coins collected,Monedas recogidas,收集的金币,獲得コイン,획득한 코인,Собрано монет
ui.result.final_money,Dinheiro final,Final money,Dinero final,最终金钱,最終マネー,최종 자금,Итоговые деньги
ui.result.xp_gained,XP obtida,XP gained,XP obtenida,获得经验,獲得XP,획득 XP,Получено XP
ui.result.enemies_killed,Inimigos derrotados,Enemies defeated,Enemigos derrotados,击败的敌人,倒した敵,처치한 적,Убито врагов
ui.result.level_reached,Nível alcançado,Level reached,Nivel alcanzado,达到等级,到達レベル,도달 레벨,Достигнут уровень
ui.result.death_cause,Causa da derrota,Cause of defeat,Causa de la derrota,失败原因,敗北の原因,패배 원인,Причина поражения
